name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azospirillum brasilense	192	species	13978806	2	0	0.0
Brucella	234	genus	4068975	1	1	0.0
Pseudomonas fluorescens	294	species	6526868	3	1	0.0
Pseudomonas stutzeri	316	species	4548207	1	0	8.95947e-09
Xanthomonas campestris	339	species	7516154	1	0	0.0
Xanthomonas campestris pv. campestris	340	leaf	14898506	1	0	0.0
Legionella pneumophila	446	species	6459328	1	0	6.30863e-09
Escherichia	561	genus	7192399	1	0	0.0
Escherichia coli	562	species	7253110	97	0	5.65493e-09
Serratia liquefaciens	614	species	5282719	1	1	7.71374e-09
Shigella	620	genus	4815334	4	0	0.0
Shigella sonnei	624	species	5137894	5	0	0
Rhodobacter	1060	genus	4407391	1	0	0.0
Rhodobacter sphaeroides	1063	species	4585882	2	0	0.0
Porphyrobacter neustonensis	1112	species	3090363	1	1	0.0
Staphylococcus epidermidis	1282	species	2601987	1	0	0.0
Streptococcus salivarius	1304	species	2213879	1	1	1.84064e-08
Propionibacterium acnes	1747	species	2515790	49	24	0
Mycobacterium bovis	1765	species	5455659	1	0	0.0
Mycobacterium tuberculosis	1773	species	4956632	1	0	0.0
Streptomyces albus	1888	species	6841649	2	0	0.0
Streptomyces clavuligerus	1901	species	7590758	1	1	0.0
Streptomyces glaucescens	1907	species	7623774	1	1	0.0
Aeromicrobium erythreum	2041	species	3629239	1	0	0.0
Homo sapiens	9606	species	3238442024	672	546	4.61799e-09
Escherichia virus Lambda	10710	species	48502	10	0	0
Simian immunodeficiency virus	11723	species	9518	7616	7557	0.000286848
Burkholderia	32008	genus	7695944	1	1	0.0
synthetic construct	32630	species	26537524	11971	1395	1.90747e-07
Moraxella osloensis	34062	species	2649137	7	7	0.0
Rhodovulum sulfidophilum	35806	species	4347929	1	0	0.0
Mycobacterium abscessus	36809	species	7033472	1	0	0.0
Nocardia farcinica	37329	species	6292344	2	1	0.0
Stenotrophomonas maltophilia	40324	species	4684682	2	2	0.0
Phaeobacter gallaeciensis	60890	species	4540155	1	0	0.0
Cupriavidus basilensis	68895	species	8421483	1	0	0.0
Aliivibrio wodanis	80852	species	4635126	1	1	0.0
Aminobacter aminovorans	83263	species	6890726	1	0	0.0
